Attrition,Business Travel,Department,Education Field,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Relationship Satisfaction,Total Working Years,Years At Company,Years In Current Role,Years With Curr Manager
No,Non-Travel,R&D,Medical,Male,Healthcare Representative,Married,Yes,3,35,11,Associates Degree,3,1,9884,2,13,3,10,4,0,3
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,2,26,23,Bachelor's Degree,3,4,4157,7,19,3,5,2,2,0
No,Travel_Frequently,R&D,Life Sciences,Female,Research Director,Single,Yes,1,33,1,Associates Degree,1,4,13458,1,12,3,15,15,14,12
No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,No,3,35,18,Doctoral Degree,2,1,9069,1,22,4,9,9,8,8
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Married,Yes,3,35,23,Master's Degree,3,1,4014,3,15,3,4,2,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,3,31,7,Master's Degree,4,4,5915,3,22,4,10,7,7,7
No,Travel_Rarely,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,2,37,1,Master's Degree,1,3,5993,1,18,3,7,7,5,7
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Married,Yes,3,32,1,Bachelor's Degree,1,4,6162,1,22,2,9,9,8,8
No,Travel_Frequently,R&D,Life Sciences,Female,Laboratory Technician,Single,No,2,38,29,Doctoral Degree,4,4,2406,1,11,4,10,10,3,9
No,Travel_Rarely,R&D,Medical,Female,Research Director,Divorced,Yes,2,50,7,Associates Degree,2,3,18740,5,12,4,29,27,3,8
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,3,59,25,Bachelor's Degree,1,1,7637,7,11,4,28,21,16,9
No,Travel_Rarely,R&D,Technical Degree,Female,Healthcare Representative,Divorced,No,2,36,8,Bachelor's Degree,3,3,10096,1,13,2,17,17,14,8
No,Travel_Rarely,R&D,Medical,Female,Manager,Divorced,Yes,2,55,8,Bachelor's Degree,4,3,14756,2,14,3,21,5,0,2
No,Travel_Frequently,R&D,Life Sciences,Male,Manufacturing Director,Single,No,3,36,11,Bachelor's Degree,2,2,6499,1,13,3,6,6,5,3
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,No,2,45,7,Bachelor's Degree,2,1,9724,2,17,3,25,1,0,0
No,Travel_Frequently,R&D,Medical,Male,Research Scientist,Married,No,2,35,1,Bachelor's Degree,2,1,2194,4,13,4,5,3,2,2
Yes,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,Yes,0,36,9,Bachelor's Degree,4,3,3388,0,17,1,2,1,0,0
No,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,No,2,59,1,High School,1,3,5473,7,11,4,20,4,3,3
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,No,3,29,2,Bachelor's Degree,3,2,2703,0,23,4,6,5,4,4
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,No,4,31,1,Master's Degree,3,2,2501,1,17,2,1,1,1,0
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,No,3,32,1,Bachelor's Degree,2,2,6220,1,17,2,10,10,4,9
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Married,No,3,36,6,Bachelor's Degree,2,4,3038,3,12,2,5,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Single,No,2,31,8,Master's Degree,3,4,4424,1,23,4,11,11,7,8
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,2,35,1,Master's Degree,3,1,4312,0,14,2,16,15,13,8
No,Travel_Rarely,R&D,Other,Male,Research Director,Married,Yes,3,45,6,Master's Degree,4,1,13245,4,14,2,17,0,0,0
No,Travel_Rarely,R&D,Medical,Male,Research Director,Single,No,3,37,7,Master's Degree,1,3,13664,4,13,1,16,5,2,2
No,Travel_Rarely,HR,Medical,Male,Human Resources,Divorced,Yes,2,46,5,Associates Degree,2,2,5021,8,22,4,16,4,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Married,Yes,1,30,1,High School,4,4,5126,1,12,3,10,10,8,0
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,No,3,35,1,Bachelor's Degree,2,3,2859,1,18,1,6,6,4,4
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,4,55,1,Associates Degree,1,4,10239,3,14,4,24,1,0,0
No,Non-Travel,R&D,Medical,Female,Research Scientist,Divorced,Yes,3,38,6,Bachelor's Degree,2,4,5329,7,12,4,17,13,11,9
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Married,No,2,34,1,Associates Degree,1,2,4325,1,15,3,5,5,2,3
No,Travel_Rarely,R&D,Life Sciences,Male,Manufacturing Director,Single,No,3,56,7,Bachelor's Degree,4,4,7260,4,11,1,37,6,4,2
No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Divorced,No,3,23,2,High School,3,1,2322,3,13,3,3,0,0,0
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Married,No,4,51,9,Master's Degree,4,4,2075,3,23,2,10,4,2,3
No,Travel_Rarely,R&D,Life Sciences,Male,Healthcare Representative,Married,No,3,30,2,Bachelor's Degree,3,4,4152,1,19,1,11,11,10,8
Yes,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,3,46,9,Associates Degree,3,4,9619,1,16,4,9,9,8,7
No,Travel_Frequently,R&D,Life Sciences,Male,Healthcare Representative,Married,No,3,40,1,Master's Degree,3,2,13503,1,22,4,22,22,3,11
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,2,51,21,Master's Degree,3,4,5441,0,22,4,11,10,7,0
No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,Yes,4,30,4,Associates Degree,3,2,5209,1,12,2,11,11,8,7
No,Travel_Frequently,R&D,Medical,Male,Healthcare Representative,Married,Yes,5,46,1,Bachelor's Degree,3,1,10673,2,13,3,21,10,9,5
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,0,32,6,Master's Degree,2,3,5010,1,16,1,12,11,8,7
No,Travel_Rarely,R&D,Technical Degree,Female,Research Director,Married,No,5,54,2,Master's Degree,1,3,13549,9,12,1,16,4,3,3
No,Travel_Rarely,Sales,Other,Female,Sales Executive,Married,No,2,24,3,Associates Degree,1,3,4999,0,21,1,4,3,2,2
No,Non-Travel,Sales,Medical,Male,Sales Executive,Married,No,3,28,4,Bachelor's Degree,2,3,4221,1,15,2,5,5,4,4
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,1,58,10,Master's Degree,4,3,13872,0,13,3,38,37,10,8
No,Non-Travel,R&D,Medical,Male,Laboratory Technician,Married,No,3,44,23,Bachelor's Degree,2,2,2042,4,12,3,17,3,2,2
Yes,Travel_Rarely,HR,Human Resources,Male,Human Resources,Divorced,Yes,3,37,6,Master's Degree,3,1,2073,4,22,4,7,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,2,32,1,High School,4,1,2956,1,13,4,1,1,0,0
Yes,Travel_Frequently,R&D,Life Sciences,Female,Laboratory Technician,Single,Yes,5,20,6,Bachelor's Degree,4,4,2926,1,18,2,1,1,0,0
No,Travel_Rarely,R&D,Other,Female,Research Scientist,Single,No,3,34,6,Master's Degree,1,3,4809,1,14,3,16,16,13,10
No,Non-Travel,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,2,37,2,Associates Degree,3,4,5163,5,14,4,17,1,0,0
No,Non-Travel,HR,Human Resources,Female,Manager,Married,No,3,59,2,Master's Degree,3,4,18844,9,21,4,30,3,2,2
No,Travel_Frequently,R&D,Life Sciences,Female,Research Director,Married,Yes,1,50,1,Bachelor's Degree,1,2,18172,3,19,1,28,8,3,7
Yes,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,1,25,5,Bachelor's Degree,3,3,5744,1,11,4,6,6,4,3
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,No,2,25,7,High School,4,4,2889,1,11,3,2,2,2,1
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Single,No,5,22,15,Bachelor's Degree,2,4,2871,1,15,3,1,0,0,0
No,Travel_Frequently,R&D,Medical,Female,Healthcare Representative,Single,No,1,51,1,Master's Degree,1,1,7484,3,20,3,23,13,12,8
Yes,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Single,Yes,3,34,7,Bachelor's Degree,1,3,6074,1,24,4,9,9,7,6
No,Non-Travel,HR,Human Resources,Female,Manager,Single,Yes,3,54,26,Bachelor's Degree,4,4,17328,2,12,3,23,5,3,4
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Married,No,2,24,18,High School,2,3,2774,0,12,3,6,5,3,2
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Divorced,No,3,34,6,Master's Degree,3,2,4505,6,15,3,12,1,0,0
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,3,37,3,Bachelor's Degree,3,4,7428,2,12,1,12,5,3,3
No,Travel_Rarely,R&D,Medical,Female,Manager,Single,No,6,34,5,Bachelor's Degree,3,1,11631,2,12,4,14,11,10,8
No,Travel_Frequently,Sales,Technical Degree,Female,Sales Executive,Married,No,6,36,11,Associates Degree,2,4,9738,0,14,3,10,9,7,8
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,2,36,3,Associates Degree,1,4,2835,5,22,1,7,1,0,0
No,Travel_Frequently,Sales,Life Sciences,Male,Manager,Married,Yes,3,43,26,Associates Degree,3,4,16959,1,12,4,25,25,12,12
No,Travel_Frequently,R&D,Life Sciences,Male,Research Scientist,Divorced,No,2,30,23,Bachelor's Degree,1,3,2613,1,25,3,10,10,7,9
No,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,No,2,33,22,Associates Degree,3,2,6146,0,13,1,8,7,7,7
Yes,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Married,Yes,2,56,14,Master's Degree,2,2,4963,9,18,1,7,5,4,3
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Single,No,5,51,6,Bachelor's Degree,1,3,19537,7,13,3,23,20,18,15
Yes,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,Yes,3,31,6,Master's Degree,2,3,6172,4,18,2,12,7,7,7
No,Travel_Rarely,R&D,Other,Female,Research Scientist,Married,No,3,26,6,Bachelor's Degree,3,2,2368,1,19,3,5,5,4,3
Yes,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Married,No,3,58,23,Master's Degree,4,4,10312,1,12,4,40,40,10,6
Yes,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,Yes,2,19,22,High School,4,3,1675,1,19,4,0,0,0,0
No,Travel_Rarely,R&D,Technical Degree,Male,Laboratory Technician,Married,No,2,22,2,High School,3,4,2523,0,14,3,3,2,1,1
No,Travel_Rarely,R&D,Medical,Female,Manufacturing Director,Married,No,2,49,20,Master's Degree,3,1,6567,1,14,3,16,15,11,11
No,Travel_Frequently,R&D,Medical,Female,Research Scientist,Single,No,2,43,28,Bachelor's Degree,2,3,4739,4,12,4,18,3,2,2
No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,3,50,12,Bachelor's Degree,3,4,9208,4,11,4,16,2,2,1
Yes,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,Yes,2,31,20,Bachelor's Degree,2,3,4559,3,11,3,4,2,2,2
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,Yes,2,41,9,High School,3,3,8189,3,13,3,12,9,7,7
No,Travel_Rarely,HR,Life Sciences,Female,Human Resources,Married,No,3,26,25,High School,3,3,2942,1,23,4,8,8,7,7
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Divorced,No,0,36,6,Associates Degree,2,2,4941,6,20,4,7,3,2,1
Yes,Travel_Frequently,R&D,Life Sciences,Male,Manufacturing Director,Single,No,2,51,8,Master's Degree,1,4,10650,2,15,4,18,4,2,3
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,1,39,4,Master's Degree,4,3,5902,4,14,3,17,15,11,9
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,3,25,28,Bachelor's Degree,1,3,8639,2,18,4,6,2,2,2
No,Travel_Rarely,HR,Human Resources,Male,Human Resources,Married,Yes,2,30,9,Bachelor's Degree,3,4,6347,0,19,4,12,11,9,7
Yes,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Single,No,2,32,9,Bachelor's Degree,1,1,4200,7,22,1,10,5,4,4
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,No,2,45,29,Bachelor's Degree,3,4,3452,5,13,2,9,6,5,3
No,Travel_Rarely,R&D,Technical Degree,Female,Research Scientist,Single,Yes,2,38,3,Doctoral Degree,4,3,4317,3,20,2,19,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,No,4,30,18,Bachelor's Degree,1,3,2632,1,14,3,5,5,4,4
No,Travel_Frequently,Sales,Medical,Male,Sales Executive,Divorced,No,2,32,9,Associates Degree,4,4,4668,0,17,4,9,8,7,7
No,Travel_Rarely,R&D,Technical Degree,Female,Research Scientist,Divorced,No,3,30,5,Bachelor's Degree,4,1,3204,5,14,4,8,3,2,2
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Single,No,3,30,2,High School,2,4,2720,0,13,4,6,5,3,2
No,Travel_Frequently,R&D,Life Sciences,Male,Manager,Divorced,No,2,41,10,Bachelor's Degree,4,1,17181,4,13,2,21,7,6,7
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Married,No,2,41,9,Master's Degree,3,1,2238,2,21,4,7,5,0,4
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Single,No,3,19,3,High School,2,2,1483,1,14,4,1,1,0,0
No,Travel_Frequently,R&D,Medical,Female,Research Scientist,Divorced,No,2,40,26,Bachelor's Degree,2,2,5605,1,11,1,20,20,7,13
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,3,35,1,Doctoral Degree,3,2,7295,1,13,1,10,10,8,6
No,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,Yes,3,53,6,Associates Degree,2,3,2306,2,20,4,13,7,7,5
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,2,45,9,Bachelor's Degree,2,2,2348,8,18,3,20,17,9,15
No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,2,32,8,Bachelor's Degree,2,4,8998,1,14,4,9,9,8,7
No,Non-Travel,R&D,Technical Degree,Male,Manufacturing Director,Married,No,1,29,1,High School,4,3,4319,1,13,1,10,10,7,9
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Married,No,2,51,7,Master's Degree,2,3,6132,2,17,3,10,1,0,0
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Married,Yes,3,58,9,Bachelor's Degree,2,2,3346,4,20,2,9,1,0,0
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,2,40,4,Master's Degree,3,4,10855,7,11,1,15,12,11,11
No,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Married,No,3,34,2,Master's Degree,3,3,2231,6,18,4,6,4,3,2
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,No,6,22,19,High School,3,4,2323,1,24,1,2,2,2,2
No,Non-Travel,R&D,Medical,Male,Research Scientist,Divorced,No,1,27,9,Bachelor's Degree,4,2,2024,6,18,4,6,2,2,2
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,No,2,28,21,Bachelor's Degree,3,4,2713,1,11,3,5,5,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Healthcare Representative,Divorced,Yes,2,57,24,Associates Degree,3,4,9439,3,16,2,12,5,3,4
No,Non-Travel,R&D,Medical,Male,Research Scientist,Divorced,Yes,2,27,3,Bachelor's Degree,3,3,2566,1,15,4,1,1,1,1
No,Travel_Rarely,R&D,Life Sciences,Female,Manager,Single,No,5,50,11,Bachelor's Degree,3,2,19926,3,15,2,21,5,4,4
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,No,2,41,14,Bachelor's Degree,1,3,2451,4,12,1,13,9,8,8
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,2,30,5,Bachelor's Degree,2,4,9419,2,12,3,12,10,9,4
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,2,38,1,Master's Degree,1,4,8686,4,22,3,12,8,3,7
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,2,32,6,Doctoral Degree,3,3,3038,3,20,1,8,5,4,4
No,Travel_Rarely,R&D,Technical Degree,Male,Research Scientist,Married,Yes,3,27,17,Bachelor's Degree,3,2,3058,0,16,4,6,5,2,1
Yes,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single,No,5,19,1,High School,3,1,2325,0,21,1,1,0,0,0
No,Travel_Frequently,R&D,Medical,Male,Laboratory Technician,Single,No,3,36,3,Associates Degree,4,2,2088,4,12,3,13,8,7,2
No,Non-Travel,R&D,Medical,Male,Laboratory Technician,Divorced,No,4,30,9,Bachelor's Degree,3,1,3072,1,11,3,12,12,9,10
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,3,45,4,Associates Degree,3,1,5006,4,11,1,9,5,4,3
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Divorced,Yes,3,56,8,Bachelor's Degree,3,1,4257,4,18,3,19,2,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,2,33,2,Bachelor's Degree,3,4,2500,0,14,1,4,3,1,2
Yes,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,No,3,19,2,Bachelor's Degree,2,4,1102,1,22,3,1,1,0,0
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,2,46,1,Associates Degree,2,1,10453,1,25,3,24,24,13,7
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Single,No,3,38,9,Associates Degree,3,4,2288,1,12,3,2,2,2,1
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Married,Yes,0,31,12,High School,3,4,3929,8,23,3,7,4,2,2
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Single,No,3,34,27,Associates Degree,4,2,2311,2,15,4,9,3,2,2
Yes,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,Yes,5,41,20,Associates Degree,2,2,3140,1,22,4,4,4,3,2
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,No,2,50,1,Bachelor's Degree,3,3,3690,2,15,4,5,3,2,2
No,Travel_Rarely,R&D,Medical,Female,Manufacturing Director,Divorced,No,3,53,13,Associates Degree,4,1,4450,1,11,3,5,4,2,3
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Married,No,5,33,14,Bachelor's Degree,4,2,2756,1,13,4,8,8,7,6
No,Travel_Rarely,R&D,Medical,Female,Manager,Married,No,2,40,4,High School,4,3,19033,1,14,2,21,20,8,9
No,Travel_Rarely,R&D,Medical,Male,Research Director,Single,No,3,55,14,Master's Degree,3,2,18722,8,11,4,36,24,15,15
No,Travel_Frequently,R&D,Life Sciences,Male,Manufacturing Director,Married,No,2,34,2,High School,4,3,9547,1,17,3,10,10,9,9
No,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Single,No,6,51,3,Bachelor's Degree,4,2,13734,3,18,3,21,7,7,0
